corpus,protocol,outer_fold,n_train,n_test,n_train_speakers,n_test_speakers,n_overlap,overlap_fraction,test_speaker_ids,outer_fold_sha256
cremad,loso,0,7360,82,90,1,0,0,1001,3d72e3048dfa839c2218fbb2406ec759a63074962d6cb249b0f0ed8d5877993d
cremad,loso,1,7361,81,90,1,0,0,1002,f0a844c4f1fc0fb23b49d0b7c213c51e690c8f0d013b4808454e858e7f6520ec
cremad,loso,2,7360,82,90,1,0,0,1003,891bcab81e2165102dfff1ec91425d0c3987a4620159035fdb982a7a3d09036d
cremad,loso,3,7360,82,90,1,0,0,1004,8d2ab63dbf182453a7ca962ad8690ae4b7416fbbbda53cd1e3c3431cf9e624ed
cremad,loso,4,7360,82,90,1,0,0,1005,a45961c1d30470a2758184d8b85cff28cb722b3bc8d2a8f4d63629d240a353e2
cremad,loso,5,7360,82,90,1,0,0,1006,88fdabc99d642390e99b57fd3afd33f5f72ce105d8183238824b7fd96860e4c9
cremad,loso,6,7360,82,90,1,0,0,1007,fd7be3a337ea9412a2e2fff46e25dbe08dbad173512e31e8d5488b36e6b42209
cremad,loso,7,7366,76,90,1,0,0,1008,a2ca9686f6c97a915d515116945ff94f46ca3ea152f1346426caf54477d36a9f
cremad,loso,8,7366,76,90,1,0,0,1009,8b228f1fef86c752615f41bf8940a583985de6138027cae830acf5f05e2d56a4
cremad,loso,9,7360,82,90,1,0,0,1010,979f23581f6b4ac6fab014da9bc0117e659d628cefffbbb57016023bf2a26b5e
cremad,loso,10,7360,82,90,1,0,0,1011,88ee3b4449ebcb1425f5e708e2df6fde58472eb218dc237966ed7cd29491051c
cremad,loso,11,7360,82,90,1,0,0,1012,e4d168d6243c1fd5eb8b840fdee76f8fd3f31c7d72cb1198070a7c766dda6598
cremad,loso,12,7360,82,90,1,0,0,1013,17c0c33dcf1cdf39055ff9445408793da327651fdcf3d7b5e29a7b3fec3067c9
cremad,loso,13,7360,82,90,1,0,0,1014,433ee2bbd1e7e7a8a9b1b04c5f97f72d58cf45c0e9e98e8655db8d1e8d39eb9e
cremad,loso,14,7360,82,90,1,0,0,1015,b4f14d9f323027a8d173d0c60c58855999aeac8ef364d726c18be229e1e00f37
cremad,loso,15,7360,82,90,1,0,0,1016,40205966f520c2247d83cdc7e6be9e94482b05366011a5d1eb7573806567e820
cremad,loso,16,7360,82,90,1,0,0,1017,88013497016a429eaa290ecc9840f121d2bb34ee9bcfed67ce6924641bde2cec
cremad,loso,17,7360,82,90,1,0,0,1018,a0ea00e6861a1d1827d772531490e45ad7136f74def66faa7b71bcf05d32f382
cremad,loso,18,7366,76,90,1,0,0,1019,b63e20ee69704d8fa281feb57b8d683f42dd22fbfd9b12d1e2122899686d0bf6
cremad,loso,19,7360,82,90,1,0,0,1020,b7feb377974f16ca61d5bb95356c60cab412a458a71f9c28568ae289c21a3d49
cremad,loso,20,7360,82,90,1,0,0,1021,9212a787130173ff2bacba858281e4c6757dd1968a9787b17f64c972a6d2bf5c
cremad,loso,21,7360,82,90,1,0,0,1022,5c536325c3912d8c681de40382884cf5dafd6c56d5e9452befca0ad180b9cea5
cremad,loso,22,7360,82,90,1,0,0,1023,874171c6223d6c3b0ef7482af009215793feb46f1b8b9907ee0d92bb284ba462
cremad,loso,23,7360,82,90,1,0,0,1024,28a004a6fd5785962a09c8c978265460328ee7572c4c7cc844194365b6faa6fe
cremad,loso,24,7360,82,90,1,0,0,1025,9c61ed99413cb1039e7ae5b7d1a0d372c2b9215d5f8c44baab95b7104c84c2e6
cremad,loso,25,7360,82,90,1,0,0,1026,d289267672698e856881159948befd525af0d00e4a0fc0bb65703b49a207dd59
cremad,loso,26,7360,82,90,1,0,0,1027,542f8992f0d37cafff9d5473145200ed237fd3c3c7062529543d5e7760d8f28b
cremad,loso,27,7360,82,90,1,0,0,1028,da2fb240ebe385b6bf311f1b8a6f89dc1394ed4d55021040694532bf5541405b
cremad,loso,28,7360,82,90,1,0,0,1029,e2488c11fc721af35f13dbe41f681b0540f344115f72c2ed15e83b1f9c76e67b
cremad,loso,29,7360,82,90,1,0,0,1030,23d09869c029d8601836dea6240220418d15b34c6947f8c295d9bf803f12728e
cremad,loso,30,7360,82,90,1,0,0,1031,488ed223d2160ab93b678b91fd7af2eaf12b4b27d31ccaa8ba9cc402d5c0b01f
cremad,loso,31,7360,82,90,1,0,0,1032,d5a2699511416923ba652f70d9831abe76ffd01a0dea6060cecb8ebcf335e602
cremad,loso,32,7360,82,90,1,0,0,1033,b71d5bc52db6b937f00496b7496505e155600cb8c98a70b902914666c284afdb
cremad,loso,33,7360,82,90,1,0,0,1034,f3dda75d832c5ab508915f73303bff51c6e5469614c17cfd4a9f9fa78e634d0e
cremad,loso,34,7360,82,90,1,0,0,1035,0c262c9ec85d59fab5bbf859497ba963cf9037794e5279ed38c93d770cfd471a
cremad,loso,35,7360,82,90,1,0,0,1036,106df74779067135aa34d5c31b05a2158fdfd0662c43ab181e1aa05b8a1b1052
cremad,loso,36,7360,82,90,1,0,0,1037,d267c697e4c63507c3931627627781e4a69726b72852a3f4a897807e65c5db73
cremad,loso,37,7360,82,90,1,0,0,1038,86098f3337120eddf6a0209989fa54f8153e1021a0395d2bc85de49eba643d75
cremad,loso,38,7360,82,90,1,0,0,1039,e2e66da0cef863ad486ae9fdd94e59c6b59a793b3e0107e3c33e5353dd48de81
cremad,loso,39,7360,82,90,1,0,0,1040,34c8e27f93baaba7615a47a0dadc83344f54c56f701cc2efcb4241fceb36e90d
cremad,loso,40,7360,82,90,1,0,0,1041,c783d27d5c192dfaab0f15f57932f36b6d1244fb935a6dce2464d3b932a77ad2
cremad,loso,41,7360,82,90,1,0,0,1042,4d4c036c56a3e1a67fa07aa6280731a578490a48813e551a7d5c59b37d2982b2
cremad,loso,42,7360,82,90,1,0,0,1043,c91ac825d03b938acf2df28fddb4ed4adc455d1bc9cc36a5e72a254bf682005a
cremad,loso,43,7360,82,90,1,0,0,1044,eeb05f6ddf09df3d5d0d0083736be8e4286638cddf648aecf4d6ade73bf18004
cremad,loso,44,7360,82,90,1,0,0,1045,cbaea5337e69c9fdf5496b47566db3f558bbecacbb47a29caf567ae195343a3a
cremad,loso,45,7360,82,90,1,0,0,1046,f0090154fa552a34830fedb9c4cb18ada171d832848b7b3547d1fb2e68e217e1
cremad,loso,46,7360,82,90,1,0,0,1047,bf3fd8b2f9a987cadd6cab2a18f2a6f1379cc14adbd25feb5a87839f26792334
cremad,loso,47,7360,82,90,1,0,0,1048,4ee9e3e30b0c4162636262ecc4603e6f6daa11d9985a187efdbe5cebc0ffed34
cremad,loso,48,7360,82,90,1,0,0,1049,a4e8bf69457db5c195b56a7037249677485431fef8355c45f7df3f841d29997f
cremad,loso,49,7360,82,90,1,0,0,1050,a71ed54e9d2da08f3b7343fc6ff53b79823f0f8af70c357158bb84438375b571
cremad,loso,50,7360,82,90,1,0,0,1051,753ec0d4c63727ee441d8c30619f38673110dc40ea9dda8e0a8620de301064c0
cremad,loso,51,7360,82,90,1,0,0,1052,fd5cdff14151b987a37844274c3e9a888d3614de61828b0545723e5fdfb1bfa4
cremad,loso,52,7360,82,90,1,0,0,1053,a446b8c109f6a669619ac0f4d0ed3331c80ac69f0b8e9cf24d34660fdaa2539c
cremad,loso,53,7360,82,90,1,0,0,1054,d28464fc40b3eb9662a3c5d249527403f964450fa728ec28206a8776a2521b50
cremad,loso,54,7360,82,90,1,0,0,1055,68c6cbe40414321eaaecc4123cd52869920038e5ca90c370ed052656a53101d2
cremad,loso,55,7360,82,90,1,0,0,1056,019d2aa4643e7f05308689d0249c347bc1fdd7696f24c8ff9af59da6816e2648
cremad,loso,56,7360,82,90,1,0,0,1057,aadaa8eddd37b02ed8701f875f98dc2a0e4773991dfab4fa8608324725f52e59
cremad,loso,57,7360,82,90,1,0,0,1058,12f4701d92cc850b7f117249e3a840e0c890f148733e9d57c311828a8443abbc
cremad,loso,58,7360,82,90,1,0,0,1059,e0c126ca5680dad2e86dbe8f1b040dc2c30461ddb54802a273648fc17b8c76b4
cremad,loso,59,7360,82,90,1,0,0,1060,61c0604646bf210641c9249de745ecad0eabdcf2a5775d001f2a98724d944af9
cremad,loso,60,7360,82,90,1,0,0,1061,f5fbf4dcca14d8906b626ebf3b0985e3cc853eed65d003165fefaa76cd152d2f
cremad,loso,61,7360,82,90,1,0,0,1062,d20138c076a4d9d8240d462748cb787c76ae6f006ac5fe24cb9d78337e08367f
cremad,loso,62,7360,82,90,1,0,0,1063,43a144633bb35dc65d0acd72e0372a1856327ecf1f61816136d5fd765c49d38f
cremad,loso,63,7360,82,90,1,0,0,1064,04fd790d0c59be6271973cc2bfb6341248cee916315f68e30a1bef4a613d776b
cremad,loso,64,7360,82,90,1,0,0,1065,090310d451032f0eb0ec292c5b985f831b0ada639d3cacba258589bf32c23921
cremad,loso,65,7360,82,90,1,0,0,1066,bdebc64ebcc0c8ee0b1778f36e160393ddf2ce994eff4d935b996a3fcd3f132d
cremad,loso,66,7360,82,90,1,0,0,1067,47d3f27cf710ad8ccd9cafeb1042648e4f26209471ab3b7877d0a0561d63830c
cremad,loso,67,7360,82,90,1,0,0,1068,f0be0cee1af0f7dfee194f002163c33f0129876e8a4df69ee3c6dbed44fc65bb
cremad,loso,68,7360,82,90,1,0,0,1069,a5c1b276808833e9a14334765783df1c8a86959979073d5155fd97b39de72081
cremad,loso,69,7360,82,90,1,0,0,1070,6350f72e7cb52bd1ec1c9651c32a80f822ac74d358ceec4d075fd4b3b5bac834
cremad,loso,70,7360,82,90,1,0,0,1071,1b6218a815491dda57840134641451434dd9099591dde0ac745bf8b6b8c04c9e
cremad,loso,71,7360,82,90,1,0,0,1072,e00a948a08e86bbdde98d77c27016f3d2dfed1135b28a7d289ec676ad472bbb4
cremad,loso,72,7360,82,90,1,0,0,1073,ba9b6ff1ea3a598d3397c7909d6196d349da889e0af9d5b07046eb93ebfc51c3
cremad,loso,73,7360,82,90,1,0,0,1074,5ca2bc5dc99b909c4c95ae5fab0f90943522ad89be2d0c54aac259a04d2a3e22
cremad,loso,74,7360,82,90,1,0,0,1075,780eff354232a4d333ee44a52fd12178dc4bce5ba1b869859e986b86bd8235ef
cremad,loso,75,7361,81,90,1,0,0,1076,5cf530a602e5b9da69c4b06660a9ee0416ab0c3f52a05430b53b27ae9d33be31
cremad,loso,76,7360,82,90,1,0,0,1077,dc5f5c9ed308d63f97301eeeaaefcaae22ea769d5646f7485d614160b57d9fc7
cremad,loso,77,7360,82,90,1,0,0,1078,bf0275c6fb27d640a501ebd0764737ccf14dbab60c80d17a9a026e47f6eb1711
cremad,loso,78,7360,82,90,1,0,0,1079,c9ebdf24606d4b8fe6e587bedde46bcba6763a6a91f840d77c8b50f74846910f
cremad,loso,79,7360,82,90,1,0,0,1080,b0b16a5cba8034df0d30fd419f974afcd32c339debbdbdff1583003940a5ca61
cremad,loso,80,7360,82,90,1,0,0,1081,f69686a3f947d3702f517275580df8179f7d132a5ad5dcf7a2a28c54c342fb9d
cremad,loso,81,7360,82,90,1,0,0,1082,76ad0e4de6a36f8213881821f99884acedf5a407eb3d245af26d2da35363e018
cremad,loso,82,7360,82,90,1,0,0,1083,2675b60e38166851f71ee4fa0dd06e96800206e6f50b9bfd468eebfed2570199
cremad,loso,83,7360,82,90,1,0,0,1084,b08fda45c428a43dd456604c95da19a3fed664b83379fd66d89036893bddfd25
cremad,loso,84,7360,82,90,1,0,0,1085,fbc4110475f2ff30f7e227fe8ef52f2ade4f4d0fe9bbe705929e78f291f1c4e2
cremad,loso,85,7360,82,90,1,0,0,1086,dee9e914bdc10c3ab032b6b1c54fe232ca01602b5ab9df04f42be415a5d3d38d
cremad,loso,86,7360,82,90,1,0,0,1087,67299a142b61eaae77b965a0e64dbf6fdbc85567d7c161031fec180e7fbc5786
cremad,loso,87,7360,82,90,1,0,0,1088,c7d655ceefba80978f6d4ad0e3f594adc547e538a8736f9526b03d8f6e5669fd
cremad,loso,88,7360,82,90,1,0,0,1089,1ef109b27766911e3f24febf40ec71a9fd66a82ac9844e794f2e1d4ec193210f
cremad,loso,89,7360,82,90,1,0,0,1090,d321639617d9d051c7a392faf37992cbc883a68ff407146a9f421cfe4dc98280
cremad,loso,90,7360,82,90,1,0,0,1091,67a6365dc0efd998ff9261fc7e9a8587293f46b6b1ff16c0d2574766ac2f0a1d
