channel,relative_path,file_size_bytes,sha256,actor,emotion_code,emotion_name,intensity,statement,repetition,modality,vocal_channel,wav_samplerate,wav_frames,wav_channels,wav_subtype,read_status,error
song,Actor_02/03-02-01-01-02-01-02.wav,514788,fb2ba61f20bc87b9192c5938229f37fa073249bcc761835e65e1b1c273ba8ca6,2,1,neutral,1,2,1,3,2,48000,233834,1,PCM_16,ok,
song,Actor_02/03-02-01-01-02-02-02.wav,530804,4e04d341f011a80f2d139fcbb5ab33cb34ea14c0140f38233dd5119427f5f69a,2,1,neutral,1,2,2,3,2,48000,241842,1,PCM_16,ok,
song,Actor_02/03-02-02-01-01-01-02.wav,595538,bdcef51a324f667e9444098f237b5cdabc9ed26aeec17a9e291fb9ddbf1b0a55,2,2,calm,1,1,1,3,2,48000,273873,1,PCM_16,ok,
song,Actor_02/03-02-02-01-01-02-02.wav,585868,6b65c76a631cde5a6ab85362e0d221b9d0392eb4369aba262f2d5e91ddbe30ff,2,2,calm,1,1,2,3,2,48000,269068,1,PCM_16,ok,
song,Actor_02/03-02-02-01-02-01-02.wav,579502,1444215dc64e7562f6ff23ac1c7316ea674738d64e147a83d9cf4234e23c926a,2,2,calm,1,2,1,3,2,48000,265865,1,PCM_16,ok,
song,Actor_02/03-02-02-01-02-02-02.wav,585920,905d4fdf9b7072466385a0c9ce9f34d6d51f5362e71d7ec4ae2fe94ff31c18c4,2,2,calm,1,2,2,3,2,48000,269069,1,PCM_16,ok,
song,Actor_02/03-02-02-02-01-01-02.wav,589124,842453f6ebb3e30caf1e38521d089e4e26cf2ce603790516a1c823302bae892a,2,2,calm,2,1,1,3,2,48000,270670,1,PCM_16,ok,
song,Actor_02/03-02-02-02-01-02-02.wav,630832,cba08b79f04e786b9e94cdc5aef4eb4e8fc7bd907a97395133ff5282bff2ebba,2,2,calm,2,1,2,3,2,48000,291492,1,PCM_16,ok,
song,Actor_02/03-02-02-02-02-01-02.wav,624354,bfe30eb63fe448435bccc9a08ad50ecf410e908f9fd6f5b130889457bf3c2734,2,2,calm,2,2,1,3,2,48000,288288,1,PCM_16,ok,
song,Actor_02/03-02-02-02-02-02-02.wav,633970,080b3be052a17b710fa1b2e3bdd675ad16acf2ca560e99de74eea2b8d623064c,2,2,calm,2,2,2,3,2,48000,293093,1,PCM_16,ok,
song,Actor_02/03-02-03-01-01-01-02.wav,550078,bdecb70cf6d51f7ca45731dd942b0d738e8579a93e75a94f0da8c6d2016b78de,2,3,happy,1,1,1,3,2,48000,251452,1,PCM_16,ok,
song,Actor_02/03-02-03-01-01-02-02.wav,559686,9997337f9ce0ef82ab87eec1b32c76bf5d68b269cdc3c3db6c78e1642c0353e9,2,3,happy,1,1,2,3,2,48000,256256,1,PCM_16,ok,
song,Actor_02/03-02-03-01-02-01-02.wav,492420,f1e60fb5a0fdf21c33411b2c2aa61b66b9573ccc96e3a9c0690cc27b1e60d65b,2,3,happy,1,2,1,3,2,48000,222622,1,PCM_16,ok,
song,Actor_02/03-02-03-01-02-02-02.wav,492420,5248c72e9c2b481594f2226f4d8f72dbb262a84d9d7ad3431e5b68545b683314,2,3,happy,1,2,2,3,2,48000,222622,1,PCM_16,ok,
song,Actor_02/03-02-03-02-01-01-02.wav,460388,eaf78ce490826bf67f3a5c28cee8db3c798552773f357513c0bb98f2f716e0e3,2,3,happy,2,1,1,3,2,48000,206606,1,PCM_16,ok,
song,Actor_02/03-02-03-02-01-02-02.wav,473202,5c8c9b398f0a9ab34187b87b13af836dc288302e1d571e7bfe7b75143a4290a3,2,3,happy,2,1,2,3,2,48000,213013,1,PCM_16,ok,
song,Actor_02/03-02-03-02-02-01-02.wav,479608,bf620a2c18001351d4f61098969d36824483c779940d3843f3c9ae475d484ed7,2,3,happy,2,2,1,3,2,48000,216216,1,PCM_16,ok,
song,Actor_02/03-02-03-02-02-02-02.wav,469998,cd7adba55e6bba6fee88b501d91160bed9fbbaceeb358241b435ebafc3ab507d,2,3,happy,2,2,2,3,2,48000,211411,1,PCM_16,ok,
song,Actor_02/03-02-04-01-01-01-02.wav,559282,1af80aaf06b97eebd082eda77b1976aa37fb32c4438c40bcfd36962e9428b82f,2,4,sad,1,1,1,3,2,48000,256256,1,PCM_16,ok,
song,Actor_02/03-02-04-01-01-02-02.wav,559676,af30b2ad95295045dcd939e2e0c96e058d0895d00b2b9ee1500500f5b5613e96,2,4,sad,1,1,2,3,2,48000,256256,1,PCM_16,ok,
song,Actor_02/03-02-04-01-02-01-02.wav,563494,0c1e7bcb657936dbf4518c0e13929ca8dbf321d73b7eb71a78dfd6e8f1b58129,2,4,sad,1,2,1,3,2,48000,257857,1,PCM_16,ok,
song,Actor_02/03-02-04-01-02-02-02.wav,553886,9993d1e994fddaccca1de65fdf356bd27ea78c87a05f560029f7e26e3084c320,2,4,sad,1,2,2,3,2,48000,253052,1,PCM_16,ok,
song,Actor_02/03-02-04-02-01-01-02.wav,569298,d0ecdc1fd3e41e70d5648f19e91d20f03ff7e6a3e705800f42a37e2c4055d5a7,2,4,sad,2,1,1,3,2,48000,261061,1,PCM_16,ok,
song,Actor_02/03-02-04-02-01-02-02.wav,550080,d293258bd506c697208bbfbe1aec7fa943f7f787175032d3b66eec17c12ac20b,2,4,sad,2,1,2,3,2,48000,251451,1,PCM_16,ok,
song,Actor_02/03-02-04-02-02-01-02.wav,550080,07257f0352ffdf00422eb4b6c120a4f3c1120941061a8e910b41fe9d8d3bdc01,2,4,sad,2,2,1,3,2,48000,251451,1,PCM_16,ok,
song,Actor_02/03-02-04-02-02-02-02.wav,562892,4bba35717796c0e792683693adb1c072ceffbdc0797822bd86765bb3097f1b82,2,4,sad,2,2,2,3,2,48000,257857,1,PCM_16,ok,
song,Actor_02/03-02-05-01-01-01-02.wav,476408,c74c09e7a935373b1057a4c7e2b636941eb3c1b9553c7843b15df105309fd91a,2,5,angry,1,1,1,3,2,48000,214614,1,PCM_16,ok,
song,Actor_02/03-02-05-01-01-02-02.wav,489222,a2dd595a71f1b745fc250e4aaa96d5f003dca02e9f2e90f85a49f929a72cfb47,2,5,angry,1,1,2,3,2,48000,221021,1,PCM_16,ok,
song,Actor_02/03-02-05-01-02-01-02.wav,502034,5c4d32a65b26dc73da2601fc58b701140c4591a86a2fac57849c6cb01fe9be24,2,5,angry,1,2,1,3,2,48000,227427,1,PCM_16,ok,
song,Actor_02/03-02-05-01-02-02-02.wav,502034,fcf4321a0409d1d64687b7d5e78ccab4d03e303d55b96f2f74d0d1f987e8b41a,2,5,angry,1,2,2,3,2,48000,227427,1,PCM_16,ok,
song,Actor_02/03-02-05-02-01-01-02.wav,492424,fe7d69b2700ecce17048497c02983c4b36d2f17e2d961234861f2cbf3a731be8,2,5,angry,2,1,1,3,2,48000,222622,1,PCM_16,ok,
song,Actor_02/03-02-05-02-01-02-02.wav,492426,ab6cee84859cc4c1a798fd5cc41b2497dee0d9ca54e061b67ab630ff79917744,2,5,angry,2,1,2,3,2,48000,222623,1,PCM_16,ok,
song,Actor_02/03-02-05-02-02-01-02.wav,492426,14a2c25b612e8c2a975389c058cb04017fc4dea3408697d279168c2e4c0ccc8d,2,5,angry,2,2,1,3,2,48000,222623,1,PCM_16,ok,
song,Actor_02/03-02-05-02-02-02-02.wav,482814,f70ffdde62b679ee6ca069a0b6024312ff297f471ff9e079406d9c7615d24a92,2,5,angry,2,2,2,3,2,48000,217817,1,PCM_16,ok,
song,Actor_02/03-02-06-01-01-01-02.wav,502034,762cc923f377d6d30b864f8429010549cc0c41812834b6bff5b6565b11bbce5f,2,6,fearful,1,1,1,3,2,48000,227427,1,PCM_16,ok,
song,Actor_02/03-02-06-01-01-02-02.wav,508440,ce7e0c16c987a68aa8fcc4bc8c3bae9c3843321a0350b7838dcf2ac766f73569,2,6,fearful,1,1,2,3,2,48000,230630,1,PCM_16,ok,
song,Actor_02/03-02-06-01-02-01-02.wav,511644,46fd8a37b61664f66b2f52189f38b85d3afe9d8f1600b09eb57ec56ba0a55a4a,2,6,fearful,1,2,1,3,2,48000,232232,1,PCM_16,ok,
song,Actor_02/03-02-06-01-02-02-02.wav,495628,91b960ba4e106ad5bb14d72132e107b3081582994296ec89cf0499d4dbbe5842,2,6,fearful,1,2,2,3,2,48000,224224,1,PCM_16,ok,
song,Actor_02/03-02-06-02-01-01-02.wav,479612,85f800e738e4cf871d95f54717ea5e28e2ed793fdc39772ffe7cd1969c70f823,2,6,fearful,2,1,1,3,2,48000,216216,1,PCM_16,ok,
song,Actor_02/03-02-06-02-01-02-02.wav,479612,3aa1a716b8011d5eb2941be52c235bd5d5db3ccd8e2e9f11b9631f116dbd76a8,2,6,fearful,2,1,2,3,2,48000,216216,1,PCM_16,ok,
song,Actor_02/03-02-06-02-02-01-02.wav,479612,d77cc5eeef627587dad6bd69096ee9b4051b725e03b47c81938cf966c7bc7aa6,2,6,fearful,2,2,1,3,2,48000,216216,1,PCM_16,ok,
song,Actor_02/03-02-06-02-02-02-02.wav,476410,97ea2cb15e275da05188d4c0b8c0449ec8bd4f727589a42e093e732358c9710d,2,6,fearful,2,2,2,3,2,48000,214615,1,PCM_16,ok,
song,Actor_03/03-02-01-01-01-01-03.wav,462536,b0cb41aca7e7e7277269003469a11708875f4946ff61097b3e2354515ee22ba6,3,1,neutral,1,1,1,3,2,48000,214615,1,PCM_16,ok,
song,Actor_03/03-02-01-01-01-02-03.wav,459330,c4fe6bbcf6db293a97c4dfc1b9251db020ebfe2722248ca8ab12fb43590ccb70,3,1,neutral,1,1,2,3,2,48000,213012,1,PCM_16,ok,
song,Actor_03/03-02-01-01-02-01-03.wav,452926,ab815b2d310b1c284d60a290f290c5064624e8501f7c998c84ae5732ed3caad0,3,1,neutral,1,2,1,3,2,48000,209810,1,PCM_16,ok,
song,Actor_03/03-02-01-01-02-02-03.wav,462536,da927fff2f526146ca98b7ccfda817d69430992721d9c47f8cb04b03372dc812,3,1,neutral,1,2,2,3,2,48000,214615,1,PCM_16,ok,
song,Actor_03/03-02-02-01-01-01-03.wav,475880,58c65f2e31b6e4bc871e654a2f00c043cd35fa8eff076ba6a93dd68670d09640,3,2,calm,1,1,1,3,2,48000,224224,1,PCM_16,ok,
song,Actor_03/03-02-02-01-01-02-03.wav,485486,917ee1a2b6279cbf4ba1897a545d4809269ae0f447c76c6795aaf70939bcccaa,3,2,calm,1,1,2,3,2,48000,229028,1,PCM_16,ok,
song,Actor_03/03-02-02-01-02-01-03.wav,434236,7fc5dec3cf010223022376da31bc48507412b4f2d472f13b7bfc51d0e6c5c153,3,2,calm,1,2,1,3,2,48000,203403,1,PCM_16,ok,
song,Actor_03/03-02-02-01-02-02-03.wav,469472,b1b3d9a94a80f828afc3a7a566e0b3e7d8196ca0a3ffd9c12e791c17559c44f5,3,2,calm,1,2,2,3,2,48000,221021,1,PCM_16,ok,
song,Actor_03/03-02-02-02-01-01-03.wav,496294,46b2f7690402d2284f74e7c67e927d9318d31053e4d22a28261f78669b3a4454,3,2,calm,2,1,1,3,2,48000,233833,1,PCM_16,ok,
song,Actor_03/03-02-02-02-01-02-03.wav,486958,834bb9299a77f3c95dab4c18e36d14f1601d31f79499b8591d67e03b5dd26d53,3,2,calm,2,1,2,3,2,48000,227427,1,PCM_16,ok,
song,Actor_03/03-02-02-02-02-01-03.wav,504708,be1582c124ba12a0a8295801936a96bba0d348a74b9e6c7a68da51a34c6c0c72,3,2,calm,2,2,1,3,2,48000,238639,1,PCM_16,ok,
song,Actor_03/03-02-02-02-02-02-03.wav,529828,330856e308f87e6c9072c83ec643ffd4df614d2bf2dc871580a01b241b96916a,3,2,calm,2,2,2,3,2,48000,248248,1,PCM_16,ok,
song,Actor_03/03-02-03-01-01-01-03.wav,494592,772cad566296bf8f8ea9d5181c2346b69c2568bd92fd1b66c24c0526b9a2f061,3,3,happy,1,1,1,3,2,48000,230630,1,PCM_16,ok,
song,Actor_03/03-02-03-01-01-02-03.wav,488188,626e71fad3eb6245fb34b9f78449979e25437e7526aeaadbe44fe812096e2270,3,3,happy,1,1,2,3,2,48000,227428,1,PCM_16,ok,
song,Actor_03/03-02-03-01-02-01-03.wav,468968,6970ff13eb689269f5270374b862f75d355b914ec5a0fc4d835b279f57beb018,3,3,happy,1,2,1,3,2,48000,217818,1,PCM_16,ok,
song,Actor_03/03-02-03-01-02-02-03.wav,468968,1d80d1614574e00f600704d8450a6928a27889e22aa594dd98bfd71499b0ed9a,3,3,happy,1,2,2,3,2,48000,217818,1,PCM_16,ok,
song,Actor_03/03-02-03-02-01-01-03.wav,468968,32e6d58810d92240c53929d889ca0869936df7db6b800b871c80212a626ee07b,3,3,happy,2,1,1,3,2,48000,217818,1,PCM_16,ok,
song,Actor_03/03-02-03-02-01-02-03.wav,468968,dbba424608b313570faea915a21d348c378692fd6135377440beccc8ea2c5666,3,3,happy,2,1,2,3,2,48000,217818,1,PCM_16,ok,
song,Actor_03/03-02-03-02-02-01-03.wav,501000,3653955f996a29aa75cbf6616d3d5b0af7f99e480e7414c4c12d032fb5a9929a,3,3,happy,2,2,1,3,2,48000,233834,1,PCM_16,ok,
song,Actor_03/03-02-03-02-02-02-03.wav,494592,8325bcf67a284f4f05c9e257349288b8569da5059f365992a0b582838ba81393,3,3,happy,2,2,2,3,2,48000,230630,1,PCM_16,ok,
song,Actor_03/03-02-04-01-01-01-03.wav,481756,4a5348f8fd504493d69d53b3b31ed39ae6865dad5794fec6977bcad5ed879c8d,3,4,sad,1,1,1,3,2,48000,224224,1,PCM_16,ok,
song,Actor_03/03-02-04-01-01-02-03.wav,500976,f850dbc3fb5752554b3e50b32cf6ee9f86b0748f903bc11fe95b46a4d8732b36,3,4,sad,1,1,2,3,2,48000,233834,1,PCM_16,ok,
song,Actor_03/03-02-04-01-02-01-03.wav,533602,731ab5aef620fe257d2e4478fd898581bce467149bba27d61c6afa67e35105b3,3,4,sad,1,2,1,3,2,48000,249850,1,PCM_16,ok,
song,Actor_03/03-02-04-01-02-02-03.wav,504178,46f515fbe5fe219a2948692f96d55ab30a458a61426aae7a2d0b7ab5e8e5c83b,3,4,sad,1,2,2,3,2,48000,235435,1,PCM_16,ok,
song,Actor_03/03-02-04-02-01-01-03.wav,481756,5dcc24f6d2a5ea48cd2afa1b60e0138b858c7e0a410fe01836e06e453dc84db8,3,4,sad,2,1,1,3,2,48000,224224,1,PCM_16,ok,
song,Actor_03/03-02-04-02-01-02-03.wav,500960,7a7734018b13bb55f7b2cbb1dfe1e9b8a64caecd6f5a98acbc86790b788a454b,3,4,sad,2,1,2,3,2,48000,233834,1,PCM_16,ok,
song,Actor_03/03-02-04-02-02-01-03.wav,488162,a8e856007f298e98eb954f487f7947ed15da692a2402bc189204b1632b8a2a71,3,4,sad,2,2,1,3,2,48000,227427,1,PCM_16,ok,
song,Actor_03/03-02-04-02-02-02-03.wav,491366,e5c42491942516da502d76f08f0bcb33d4b0a7297918d9e2600a876e868f07b8,3,4,sad,2,2,2,3,2,48000,229029,1,PCM_16,ok,
song,Actor_03/03-02-05-01-01-01-03.wav,462536,9871e6365b3c6ca250c1715dc305802f52f583b531427f5e08672a021b7e0101,3,5,angry,1,1,1,3,2,48000,214614,1,PCM_16,ok,
song,Actor_03/03-02-05-01-01-02-03.wav,475350,6287c4d1d4693b0a2decf1704df13901e9bc2bf2a743813af8e5920c35afc2cf,3,5,angry,1,1,2,3,2,48000,221021,1,PCM_16,ok,
song,Actor_03/03-02-05-01-02-01-03.wav,500974,b42976cec103f156b243b1619ad7e068e46f4f0b6f9186fc7ee4972f9e7ffd0d,3,5,angry,1,2,1,3,2,48000,233833,1,PCM_16,ok,
song,Actor_03/03-02-05-01-02-02-03.wav,468942,cce78f4973cc25c4407bd9c2f8d73a189987bb27627f77ffc93bbadf56be1a2c,3,5,angry,1,2,2,3,2,48000,217817,1,PCM_16,ok,
song,Actor_03/03-02-05-02-01-01-03.wav,452928,ea03e53856fffd3c5316a2efadadf8558990001fc61b34ea1b09353023f139d0,3,5,angry,2,1,1,3,2,48000,209809,1,PCM_16,ok,
song,Actor_03/03-02-05-02-01-02-03.wav,456132,4a1a916268a4d84ccca9c0181fdef5f8ce650d793c533c6d668d7a180a6d4a42,3,5,angry,2,1,2,3,2,48000,211411,1,PCM_16,ok,
song,Actor_03/03-02-05-02-02-01-03.wav,472150,a242a3a43240fc041bbb7b1f4e1c084ea84f8deaf6dda54c2c85f6141217f61a,3,5,angry,2,2,1,3,2,48000,219420,1,PCM_16,ok,
song,Actor_03/03-02-05-02-02-02-03.wav,462540,e83fd92895a22d18ea0254c9044ff722c5d846bc2186f91e16feeee49d8f3a3b,3,5,angry,2,2,2,3,2,48000,214615,1,PCM_16,ok,
song,Actor_03/03-02-06-01-01-01-03.wav,436914,e5ff7b23b7efac23f6a37dd55cba84ac9b4f8512d9698308663ca7c7a8363d48,3,6,fearful,1,1,1,3,2,48000,201802,1,PCM_16,ok,
song,Actor_03/03-02-06-01-01-02-03.wav,443320,20e4ce7601b292be265662d71ee6b2796d0c758d828e081940d2dc6eaee9a4d8,3,6,fearful,1,1,2,3,2,48000,205005,1,PCM_16,ok,
song,Actor_03/03-02-06-01-02-01-03.wav,446524,4281494bf7dcc33edef71cce704932d4a6c77bedda3bbf285fab02eeb0f1fb0c,3,6,fearful,1,2,1,3,2,48000,206607,1,PCM_16,ok,
song,Actor_03/03-02-06-01-02-02-03.wav,443320,4fc8d7171bfd5cbab162300b28f3609f5c7033ed6d7527fee3484f10e3590430,3,6,fearful,1,2,2,3,2,48000,205005,1,PCM_16,ok,
song,Actor_03/03-02-06-02-01-01-03.wav,430506,52dd57e25fb89383bd14c72a438c549ba50256422cbb7543fb6b360b39a0f40c,3,6,fearful,2,1,1,3,2,48000,198598,1,PCM_16,ok,
song,Actor_03/03-02-06-02-01-02-03.wav,436912,cb54ecf23b04292b2ec97e48e6f5a50b298adc309bae317c44657818c2f053ff,3,6,fearful,2,1,2,3,2,48000,201801,1,PCM_16,ok,
