corpus,protocol,outer_fold,n_train_speakers,n_test_speakers,n_overlap,overlap_fraction,speaker_disjoint_required,assertion_pass
cremad,loso,41,90,1,0,0,true,true
cremad,loso,42,90,1,0,0,true,true
cremad,loso,43,90,1,0,0,true,true
cremad,loso,44,90,1,0,0,true,true
cremad,loso,45,90,1,0,0,true,true
cremad,loso,46,90,1,0,0,true,true
cremad,loso,47,90,1,0,0,true,true
cremad,loso,48,90,1,0,0,true,true
cremad,loso,49,90,1,0,0,true,true
cremad,loso,50,90,1,0,0,true,true
cremad,loso,51,90,1,0,0,true,true
cremad,loso,52,90,1,0,0,true,true
cremad,loso,53,90,1,0,0,true,true
cremad,loso,54,90,1,0,0,true,true
cremad,loso,55,90,1,0,0,true,true
cremad,loso,56,90,1,0,0,true,true
cremad,loso,57,90,1,0,0,true,true
cremad,loso,58,90,1,0,0,true,true
cremad,loso,59,90,1,0,0,true,true
cremad,loso,60,90,1,0,0,true,true
cremad,loso,61,90,1,0,0,true,true
cremad,loso,62,90,1,0,0,true,true
cremad,loso,63,90,1,0,0,true,true
cremad,loso,64,90,1,0,0,true,true
cremad,loso,65,90,1,0,0,true,true
cremad,loso,66,90,1,0,0,true,true
cremad,loso,67,90,1,0,0,true,true
cremad,loso,68,90,1,0,0,true,true
cremad,loso,69,90,1,0,0,true,true
cremad,loso,70,90,1,0,0,true,true
cremad,loso,71,90,1,0,0,true,true
cremad,loso,72,90,1,0,0,true,true
cremad,loso,73,90,1,0,0,true,true
cremad,loso,74,90,1,0,0,true,true
cremad,loso,75,90,1,0,0,true,true
cremad,loso,76,90,1,0,0,true,true
cremad,loso,77,90,1,0,0,true,true
cremad,loso,78,90,1,0,0,true,true
cremad,loso,79,90,1,0,0,true,true
cremad,loso,80,90,1,0,0,true,true
cremad,loso,81,90,1,0,0,true,true
cremad,loso,82,90,1,0,0,true,true
cremad,loso,83,90,1,0,0,true,true
cremad,loso,84,90,1,0,0,true,true
cremad,loso,85,90,1,0,0,true,true
cremad,loso,86,90,1,0,0,true,true
cremad,loso,87,90,1,0,0,true,true
cremad,loso,88,90,1,0,0,true,true
cremad,loso,89,90,1,0,0,true,true
cremad,loso,90,90,1,0,0,true,true
