sample_index,corpus,relative_path,bytes,sha256,speaker,sex,label,label_index,sentence,take,intensity
33,ravdess,Actor_01/03-01-05-02-01-02-01.wav,479606,745fd4153bf84d01560afc663decbe2f06f28c6fdca31078c94d9697606391a8,01,M,angry,4,S1,R2,strong
34,ravdess,Actor_01/03-01-05-02-02-01-01.wav,457178,c1db52e1172cf1040eba230f01a679c48e4e06e09b7dd76323aad9f5c3b8519b,01,M,angry,4,S2,R1,strong
35,ravdess,Actor_01/03-01-05-02-02-02-01.wav,486012,1c45eaf416533b088663e65d5ded05b139f892f6114ef3c5b6091d736af5fb01,01,M,angry,4,S2,R2,strong
36,ravdess,Actor_01/03-01-06-01-01-01-01.wav,412342,a2c792f3c5733f4469ae01c526833c22f3e14cbf145fab47f4d22e56f9552cdb,01,M,fearful,5,S1,R1,normal
37,ravdess,Actor_01/03-01-06-01-01-02-01.wav,409140,b5228ae44a99e1081e2732122666c79b1852ffd8b1debdaf98c12258140c8b17,01,M,fearful,5,S1,R2,normal
38,ravdess,Actor_01/03-01-06-01-02-01-01.wav,389916,10fe698e7276dc4b180b79ef73989c3b347b026ef32ae0b5f5ddcac894e2f7f6,01,M,fearful,5,S2,R1,normal
39,ravdess,Actor_01/03-01-06-01-02-02-01.wav,415544,b385602ec6ab15b6c0341af1bcd35929e1190823c1d2cd34ed71ca10f49baf6f,01,M,fearful,5,S2,R2,normal
40,ravdess,Actor_01/03-01-06-02-01-01-01.wav,540470,6b0752471c17ea8dfbdbbf9c976da3560c402ad2ca012704bea5b5b52dd00201,01,M,fearful,5,S1,R1,strong
41,ravdess,Actor_01/03-01-06-02-01-02-01.wav,466786,53759ee327ffe65399c1b4d0a0fba3632a01d3fb2ebb5856f2dcc9a1d80afcd9,01,M,fearful,5,S1,R2,strong
42,ravdess,Actor_01/03-01-06-02-02-01-01.wav,441170,509626a3a63b3ce34ae6496daf5067fd42e48b8d074dd1ee605f01b4eaa77346,01,M,fearful,5,S2,R1,strong
43,ravdess,Actor_01/03-01-06-02-02-02-01.wav,434766,027c7f5e7a84e37332206cad278ede9fcce8447187c6f712b8d6d45c27680dcf,01,M,fearful,5,S2,R2,strong
44,ravdess,Actor_01/03-01-07-01-01-01-01.wav,431554,3812b1fcf5ba2019a0ec594251d1c35055b7f6233bcbce224aa08a319b444613,01,M,disgust,6,S1,R1,normal
45,ravdess,Actor_01/03-01-07-01-01-02-01.wav,434756,8cef0c39e86cbf8bb23e57b458904c22a406aa059565af4c566d109bac4b95d9,01,M,disgust,6,S1,R2,normal
46,ravdess,Actor_01/03-01-07-01-02-01-01.wav,434760,410a87d17bd8188c0dbe6edbd0bdf8189e801c6f58cf5039e18ceea66e01ee0b,01,M,disgust,6,S2,R1,normal
47,ravdess,Actor_01/03-01-07-01-02-02-01.wav,428354,c35c816dc7f8a051a241ca5ebfb4e5506da0b1b2a7f4b675add30710a9cbaf26,01,M,disgust,6,S2,R2,normal
48,ravdess,Actor_01/03-01-07-02-01-01-01.wav,473196,3ef05a004c36909ce946154cf68cd551a485686866cf07291ef7a0a298328edd,01,M,disgust,6,S1,R1,strong
49,ravdess,Actor_01/03-01-07-02-01-02-01.wav,453978,391ad1934bdf2a96611fbf03d8f468f586c7fd6c3524f43497418117a2403ed0,01,M,disgust,6,S1,R2,strong
50,ravdess,Actor_01/03-01-07-02-02-01-01.wav,447572,a8562d7ff862398b8310852734e61f415d12cc8417d813ddf593edafea0fbbb0,01,M,disgust,6,S2,R1,strong
51,ravdess,Actor_01/03-01-07-02-02-02-01.wav,479602,aebb0e8a9c1949f84f06ad22863dd0b52607f8865d1c3590308eaa75ec84c8da,01,M,disgust,6,S2,R2,strong
52,ravdess,Actor_01/03-01-08-01-01-01-01.wav,386692,5e43c41dae0e824c1a07663b05a0dfdccac7412fb4a745510df58d2d6ee53231,01,M,surprised,7,S1,R1,normal
53,ravdess,Actor_01/03-01-08-01-01-02-01.wav,373882,d97bdaaf8ef7e89ce61c8c75612032646600a2731bbd1a41d64f8a40441984ab,01,M,surprised,7,S1,R2,normal
54,ravdess,Actor_01/03-01-08-01-02-01-01.wav,399392,30f76a703577ed6bc8d1b5e0dc2d68afbe508a17c960c79fa17cacef4adf05ec,01,M,surprised,7,S2,R1,normal
55,ravdess,Actor_01/03-01-08-01-02-02-01.wav,687780,070662892d30d9e43b5ff88312b371498e574513166d2b0690c47324c5befd5e,01,M,surprised,7,S2,R2,normal
56,ravdess,Actor_01/03-01-08-02-01-01-01.wav,389898,6786e322debf5aead0ad67df4751e2b3e1c09e4909857b53cbd88897f2251efb,01,M,surprised,7,S1,R1,strong
57,ravdess,Actor_01/03-01-08-02-01-02-01.wav,402712,7b97b8e5e821f3f16183c24025dab6557021578849494fa12cbcd1e7b29a963c,01,M,surprised,7,S1,R2,strong
58,ravdess,Actor_01/03-01-08-02-02-01-01.wav,396306,6e5db4d6fa637f12bbe74430d1da8178f9a5c5f6b3dfe6482e554668c9cc6a6e,01,M,surprised,7,S2,R1,strong
59,ravdess,Actor_01/03-01-08-02-02-02-01.wav,373884,8b1322434092abff250e8de2571b2abdc9c501af84c7595b01111da1a21c0182,01,M,surprised,7,S2,R2,strong
60,ravdess,Actor_02/03-01-01-01-01-01-02.wav,410114,e343477557ff71c099c7a71ef70ff65158fcab232a56ee23bd231319a0f2c845,02,F,neutral,0,S1,R1,normal
61,ravdess,Actor_02/03-01-01-01-01-02-02.wav,406912,a60634e1545dfec9ed00cac5d3ebe2cb9808175884c02aa72a6e61cbb81167dd,02,F,neutral,0,S1,R2,normal
62,ravdess,Actor_02/03-01-01-01-02-01-02.wav,422926,bf8422b8ff263607a9264f15f1db6e979aba70c7b0966c283fbf0e9ad92d424e,02,F,neutral,0,S2,R1,normal
63,ravdess,Actor_02/03-01-01-01-02-02-02.wav,406910,e093a927ecabc6618a13db9a7b23bb742ffb85ae1405ef636f34fe18b5ac0b38,02,F,neutral,0,S2,R2,normal
64,ravdess,Actor_02/03-01-02-01-01-01-02.wav,429350,7b43258db0818fccf82884d54bb1f36e7501308acc99e1f2bc05fa1da10d3899,02,F,calm,1,S1,R1,normal
65,ravdess,Actor_02/03-01-02-01-01-02-02.wav,445370,d4b8363d0c65c9f61e7cb20cc725e24b6e64c608d224c21a2bbfaad30b8e487b,02,F,calm,1,S1,R2,normal
66,ravdess,Actor_02/03-01-02-01-02-01-02.wav,429354,f51a66b9bc696cd5891f566edddbd0651af12347fe74f95a2c97df42bc3c0934,02,F,calm,1,S2,R1,normal
67,ravdess,Actor_02/03-01-02-01-02-02-02.wav,442166,2bcada99818df62ec0cbe2e23ff0ebf3fbf112ab04805e265a7bfe7d7a6d7354,02,F,calm,1,S2,R2,normal
68,ravdess,Actor_02/03-01-02-02-01-01-02.wav,458184,59eeaaceed8c8e8ad89d5c5c5164a064cb425c724cf71f7d0546001da9a81531,02,F,calm,1,S1,R1,strong
69,ravdess,Actor_02/03-01-02-02-01-02-02.wav,448574,cf81009e63d704c500ab9ee481be6b1aabe268ed5ce78b34ffd984d76c45457e,02,F,calm,1,S1,R2,strong
70,ravdess,Actor_02/03-01-02-02-02-01-02.wav,454980,3f6b579ef647c2611a50ba88dc9910d18e28f5c9b18509caaa66e853a069d9c3,02,F,calm,1,S2,R1,strong
71,ravdess,Actor_02/03-01-02-02-02-02-02.wav,454980,909613c25f4bb82a4ee759fd30b3dad44fc331b6c5830e909e4e2c5fb53054a4,02,F,calm,1,S2,R2,strong
72,ravdess,Actor_02/03-01-03-01-01-01-02.wav,406932,4654ca86da9f02b60a5ab11b69f1ed0dbc9cd1caae1a02455f8918c46bb7fd2e,02,F,happy,2,S1,R1,normal
73,ravdess,Actor_02/03-01-03-01-01-02-02.wav,416540,9a3c41ce92315e8727bee09cd7c4775d12b6d86fea5f7c20f5d90eb076a248d7,02,F,happy,2,S1,R2,normal
74,ravdess,Actor_02/03-01-03-01-02-01-02.wav,422948,3e9668459238b80ac2b1c7b5ffe3d97c5382dcd60a7975d87fc4864b9c39e067,02,F,happy,2,S2,R1,normal
75,ravdess,Actor_02/03-01-03-01-02-02-02.wav,419746,bd18aaec8b3ab71778f167b1c6f0ae4c9ff726946fa401b6681853055efeda01,02,F,happy,2,S2,R2,normal
76,ravdess,Actor_02/03-01-03-02-01-01-02.wav,416542,5269349f2129a0d1d1bb44262c6976e6629db2f258456af3d21014c1e9e2a681,02,F,happy,2,S1,R1,strong
77,ravdess,Actor_02/03-01-03-02-01-02-02.wav,413338,b338fb93d6fa3bb726a726e3c5747bf7d1ba55849f21cd92b7c5ce0d596a639c,02,F,happy,2,S1,R2,strong
78,ravdess,Actor_02/03-01-03-02-02-01-02.wav,416542,c3d8e4469c820ced8e776c910f621f02dbb4a57e8de275c4d1434aea819eb925,02,F,happy,2,S2,R1,strong
79,ravdess,Actor_02/03-01-03-02-02-02-02.wav,432556,75b8425081dfc5ac8f263096219cf4f67bf493cc4dd07530aae3b1618c571bd3,02,F,happy,2,S2,R2,strong
80,ravdess,Actor_02/03-01-04-01-01-01-02.wav,429334,1dd1dea9b9f6522b2ada29cb60a35f55c6ce99fef1afb6e6fc48959d0de2c102,02,F,sad,3,S1,R1,normal
81,ravdess,Actor_02/03-01-04-01-01-02-02.wav,422928,da78102797dd0b1501d03ad4c6b3b0ea8054e3952d5918a9aaeecb41fd7589f5,02,F,sad,3,S1,R2,normal
82,ravdess,Actor_02/03-01-04-01-02-01-02.wav,419722,05d80c8e8ffe4e53d9440a80be21a81df3f8bb26e80f5006e2e37d5acc100332,02,F,sad,3,S2,R1,normal
83,ravdess,Actor_02/03-01-04-01-02-02-02.wav,422928,65e774df0f88c5c13bbdb5da25f8e49cbc1cee312df881ea74b0f9c812d470b7,02,F,sad,3,S2,R2,normal
84,ravdess,Actor_02/03-01-04-02-01-01-02.wav,419730,c164e43034a28da0d81f97b6ca0df91b6d1970def189de9542af7c999af166a3,02,F,sad,3,S1,R1,strong
85,ravdess,Actor_02/03-01-04-02-01-02-02.wav,422930,6c5e70947db7d8f5f80accf65b2e95be20031f4edcf47777991f955f4bbf6906,02,F,sad,3,S1,R2,strong
86,ravdess,Actor_02/03-01-04-02-02-01-02.wav,416524,efa86bccfd96610660d6518872b010e0c76202624ed4ccffedb644beaea925f4,02,F,sad,3,S2,R1,strong
87,ravdess,Actor_02/03-01-04-02-02-02-02.wav,413322,faa98815ea99829510149881b63417bfcd3cea9cb8dc25611417646e05b3005f,02,F,sad,3,S2,R2,strong
88,ravdess,Actor_02/03-01-05-01-01-01-02.wav,413322,85e9338f1a1c5011221afce5d145a6a98784ff007b7562006cbcce93761b8fd4,02,F,angry,4,S1,R1,normal
89,ravdess,Actor_02/03-01-05-01-01-02-02.wav,413322,6521fea459b712fa6a1227d5513bb32aac81509a318309ce13ec24345cc2b2d5,02,F,angry,4,S1,R2,normal
90,ravdess,Actor_02/03-01-05-01-02-01-02.wav,422930,0b9b8fad5c6b5728a692371d92e5638f6c17149784b97be5cf3c69fbc46cdec0,02,F,angry,4,S2,R1,normal
91,ravdess,Actor_02/03-01-05-01-02-02-02.wav,426124,db5236c610aaa14319d9b340f698405957c44d1fcfcbb99c303090c4e6081d9e,02,F,angry,4,S2,R2,normal
92,ravdess,Actor_02/03-01-05-02-01-01-02.wav,435746,2f8cafdb522aec17a940ee829e6a42b46b53817fa626d65da6beab33c5bdfbfc,02,F,angry,4,S1,R1,strong
93,ravdess,Actor_02/03-01-05-02-01-02-02.wav,445354,a8a570075c4513a2830e7a2d91daefd6c8f9a05cefbde8ad2c8b83092fbac415,02,F,angry,4,S1,R2,strong
94,ravdess,Actor_02/03-01-05-02-02-01-02.wav,445372,6481c21552fa49c7716d477ce26f37ce96a09d2a0a25ae1ec6603308794a1235,02,F,angry,4,S2,R1,strong
95,ravdess,Actor_02/03-01-05-02-02-02-02.wav,445368,5c6245995079fa054296bbf78cae66d3a692f7a1c97d10a086f0563701a5e22c,02,F,angry,4,S2,R2,strong
96,ravdess,Actor_02/03-01-06-01-01-01-02.wav,410134,d5b45b08055b925e9cd66279940389490c663511fa5658ede38ed85e1ac88ddd,02,F,fearful,5,S1,R1,normal
97,ravdess,Actor_02/03-01-06-01-01-02-02.wav,419742,8915bce71511d2144cac3218d5d2d528e5a4c92ae7116c325f50f032e8d68bfa,02,F,fearful,5,S1,R2,normal
98,ravdess,Actor_02/03-01-06-01-02-01-02.wav,413336,492ae24bf56eb8d23c3db75585e097bff4915717fcccd220c0e7f0f2453a0a76,02,F,fearful,5,S2,R1,normal
99,ravdess,Actor_02/03-01-06-01-02-02-02.wav,419732,ca8c1f0e4990f5fc55fd44863b5e0350b7e5c466f36ce2e7d1e793bc564782bc,02,F,fearful,5,S2,R2,normal
100,ravdess,Actor_02/03-01-06-02-01-01-02.wav,426040,b59f804202fb4d2e5d5b6a75ec5f082aa20456eb217aaf633eff3397081142c7,02,F,fearful,5,S1,R1,strong
101,ravdess,Actor_02/03-01-06-02-01-02-02.wav,410126,d3924095729ab4b2db75d99e0689d82cb74a74f027e8965bfd503bc41a49ac94,02,F,fearful,5,S1,R2,strong
102,ravdess,Actor_02/03-01-06-02-02-01-02.wav,406922,f42d66fc079607993271b79d2bf8bf313663d5f9d1f8f5c05358fb5002c978c8,02,F,fearful,5,S2,R1,strong
103,ravdess,Actor_02/03-01-06-02-02-02-02.wav,406928,38feb57de2541446386ee7193bab4bc67fe31600ebce4657c9791b304518916f,02,F,fearful,5,S2,R2,strong
104,ravdess,Actor_02/03-01-07-01-01-01-02.wav,413334,b242119b1038e4f58474d2576322657505477bacc62a7d499b76cd3488eca650,02,F,disgust,6,S1,R1,normal
105,ravdess,Actor_02/03-01-07-01-01-02-02.wav,408986,ad10514605396bee4899c3672e6fa668dd26ef1364d34e2b8a30da7bace1d1a2,02,F,disgust,6,S1,R2,normal
106,ravdess,Actor_02/03-01-07-01-02-01-02.wav,431722,a98b80c8a6838b75431555304fafed9de45945ba8aeb4342312b9e2afffc2b02,02,F,disgust,6,S2,R1,normal
107,ravdess,Actor_02/03-01-07-01-02-02-02.wav,429350,4663602009c3554e5ba24f58ab7abafc332c2acde7a3ce8f175873b003da76bc,02,F,disgust,6,S2,R2,normal
108,ravdess,Actor_02/03-01-07-02-01-01-02.wav,458178,00b810a539ec56ef2f97ec110300c24cdb8067bf7cc05b0431590043838654c5,02,F,disgust,6,S1,R1,strong
109,ravdess,Actor_02/03-01-07-02-01-02-02.wav,458178,f4a933ad28662d95b60a388d961f6ae51f36357fc03350daf2b25b955c6b2577,02,F,disgust,6,S1,R2,strong
110,ravdess,Actor_02/03-01-07-02-02-01-02.wav,444508,a4c84778ebcb9c7eaec7d0d22f0d079ea64196cd8b3f6fe4edbd625b7a6899ac,02,F,disgust,6,S2,R1,strong
111,ravdess,Actor_02/03-01-07-02-02-02-02.wav,448570,91c81e62da8aeb5f88c78ae464e79e036022c3d3f47786a203e69f614f17f40b,02,F,disgust,6,S2,R2,strong
112,ravdess,Actor_02/03-01-08-01-01-01-02.wav,400524,909401c525b3d157d822fa3f66171086d531d7aa930e81c28fa15b9c557a931b,02,F,surprised,7,S1,R1,normal
113,ravdess,Actor_02/03-01-08-01-01-02-02.wav,400524,47f3448862bd16ab03018bab2e5388b22b465242c2e3a248f4d33b7c3bb514a4,02,F,surprised,7,S1,R2,normal
114,ravdess,Actor_02/03-01-08-01-02-01-02.wav,406930,1489de3ebaf08e0dbfc70f72267702813420da79316e18a03af86e3958875c18,02,F,surprised,7,S2,R1,normal
115,ravdess,Actor_02/03-01-08-01-02-02-02.wav,400524,55b262e82032742f82c8500e905940968e88cfc443059261ad85721664cac224,02,F,surprised,7,S2,R2,normal
116,ravdess,Actor_02/03-01-08-02-01-01-02.wav,419742,9e7c283f2a4cf53343a097990bed51b1aaf31da63c0fad30f337429a90f6a70b,02,F,surprised,7,S1,R1,strong
117,ravdess,Actor_02/03-01-08-02-01-02-02.wav,422946,51f0b1a5ffd771df5800a3aef0ea802e28bc128f4ae8559c7f2b8f645aa9477e,02,F,surprised,7,S1,R2,strong
118,ravdess,Actor_02/03-01-08-02-02-01-02.wav,419744,34d26a4be4259d595b4f178b97cd218f216c74cd41e76c324ab62ecb86c3b08d,02,F,surprised,7,S2,R1,strong
119,ravdess,Actor_02/03-01-08-02-02-02-02.wav,426150,252269fe584a3f8bf91dae2f9c21ff9456f44b2783cc64f7ea1d1189661bf450,02,F,surprised,7,S2,R2,strong
120,ravdess,Actor_03/03-01-01-01-01-01-03.wav,379588,d61bd344a100e9ba43b2e589912e0ce4b8c4f8be14e7e9a5b618a51728faf34f,03,M,neutral,0,S1,R1,normal
121,ravdess,Actor_03/03-01-01-01-01-02-03.wav,385994,17b08fe4d03f14cfee8cbe8368bddf9d5660a81bbc1972f8891ea0e5327aa290,03,M,neutral,0,S1,R2,normal
122,ravdess,Actor_03/03-01-01-01-02-01-03.wav,385986,d2e500826753fc20c4d095fcd4f470cd3f44d523313cc34fe568d284b2912d62,03,M,neutral,0,S2,R1,normal
123,ravdess,Actor_03/03-01-01-01-02-02-03.wav,382784,8aa88064ce24604e9639b7c4948f7d0ea682aefe2eccc852abf69a953e937d2f,03,M,neutral,0,S2,R2,normal
124,ravdess,Actor_03/03-01-02-01-01-01-03.wav,418036,7de7f8c071c5a7d7537d6d1445770c56c3dd02a9e84cc5612930570e28b98ee4,03,M,calm,1,S1,R1,normal
125,ravdess,Actor_03/03-01-02-01-01-02-03.wav,408426,42f895c76bd4891a2cfd9dd5a8631b36b29e5e60e8be2bd6e09104bfc0bbbb84,03,M,calm,1,S1,R2,normal
126,ravdess,Actor_03/03-01-02-01-02-01-03.wav,418038,18b09a1ad4929b246b2c3ce56bd2ecd99af664e67c77fb018703d466022054f1,03,M,calm,1,S2,R1,normal
127,ravdess,Actor_03/03-01-02-01-02-02-03.wav,430844,456e4b2c9f419c55422908497e7ff8b3c2f00ff84c6e1c04ed6c4430d9cc6d0d,03,M,calm,1,S2,R2,normal
128,ravdess,Actor_03/03-01-02-02-01-01-03.wav,437254,33afd76533b0e48b131f93d80340b99c85d4a2cba11f1b7f5c748bcd5a01c2bb,03,M,calm,1,S1,R1,strong
129,ravdess,Actor_03/03-01-02-02-01-02-03.wav,430848,98d4b2a4e8c67d80e0044297de35b10ac608e8f786407afdea793d613edb4cde,03,M,calm,1,S1,R2,strong
130,ravdess,Actor_03/03-01-02-02-02-01-03.wav,446862,c70ff203bae72dd7f0bb4903f68023dc12d6c42701dde36d1efba9aff2de96ae,03,M,calm,1,S2,R1,strong
131,ravdess,Actor_03/03-01-02-02-02-02-03.wav,434050,4dbf22283b47b60c8b5900f7002c04e0d3da26a60d4e285ed5302b3c504c5a28,03,M,calm,1,S2,R2,strong
132,ravdess,Actor_03/03-01-03-01-01-01-03.wav,411628,bf7281f0cfb95f98be2ce95a9c7ab6e66997965b9084f41e839776b1c401d12a,03,M,happy,2,S1,R1,normal
133,ravdess,Actor_03/03-01-03-01-01-02-03.wav,395612,3673c73ead5925f0b41b77f76118402be8e8d4988879f6ecd18abc44cc19fa54,03,M,happy,2,S1,R2,normal
134,ravdess,Actor_03/03-01-03-01-02-01-03.wav,386006,9ae11f747e207563a49434c8fe52c96cbe4003542de9ebb535dbcc615069607c,03,M,happy,2,S2,R1,normal
135,ravdess,Actor_03/03-01-03-01-02-02-03.wav,386006,4d54f39f6f3f3c3c1b94eb213dab2f73abd92da2900f26c4d34922aab71dc6f4,03,M,happy,2,S2,R2,normal
136,ravdess,Actor_03/03-01-03-02-01-01-03.wav,462882,ccb0b650d178b4ce33dd0b5d28e16db2a30f5fb5680d4196454a59bc45d05b40,03,M,happy,2,S1,R1,strong
137,ravdess,Actor_03/03-01-03-02-01-02-03.wav,472490,a5c5bbdb7048f9f3efaa7a463d4fcea1be2bb1527c52f6150206db38491998b3,03,M,happy,2,S1,R2,strong
138,ravdess,Actor_03/03-01-03-02-02-01-03.wav,446864,ebfaf47aa2fd98a81ee42d1a5313acbc8d88a5dd11437f4cf3a421ab9849ea4f,03,M,happy,2,S2,R1,strong
139,ravdess,Actor_03/03-01-03-02-02-02-03.wav,418036,134ef20f808ca3cdd011dea89bddff5cfc3ebb6cfd446e080f4399b654b9b0fb,03,M,happy,2,S2,R2,strong
140,ravdess,Actor_03/03-01-04-01-01-01-03.wav,395608,36c9db23dc891df8a4eae9ecb9d9553a284e6e9b1c05db26ec4c56ad5a2096c8,03,M,sad,3,S1,R1,normal
141,ravdess,Actor_03/03-01-04-01-01-02-03.wav,392404,920a39b9b5e7cc5be20a80120dbc5971dca76d3d1b40ef2227b3be2ad844e8c0,03,M,sad,3,S1,R2,normal
142,ravdess,Actor_03/03-01-04-01-02-01-03.wav,392404,7c7b5bf72e22adf24c7ecc6b7047033a1218fc4bd58b94ef63aaa46c0d3fa804,03,M,sad,3,S2,R1,normal
143,ravdess,Actor_03/03-01-04-01-02-02-03.wav,389202,c7ab261efdae4c0bdf8a2aec93c6eecd9766470cb8b7ebe11e8994fb9e56f69d,03,M,sad,3,S2,R2,normal
144,ravdess,Actor_03/03-01-04-02-01-01-03.wav,411624,bdf16fd457fed2f6e5de374c7dac4fbd25cfd831b09edc38846f9c90d58c35c1,03,M,sad,3,S1,R1,strong
145,ravdess,Actor_03/03-01-04-02-01-02-03.wav,418022,1401afd3a74fb724d90f649421e1e8e0982d62e17b478181acf7ca8a189a8e57,03,M,sad,3,S1,R2,strong
