sequence,unit_id,corpus,model,protocol,seed,outer_fold,n_outer_folds,n_fit,n_validation,n_outer_test,manifest_sha256,cache_sha256,outer_fold_sha256,inner_split_path,inner_split_sha256
11,ravdess__cnn__random__s2__f000,ravdess,cnn,random,2,0,5,864,288,288,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,68ed3c00d5d2f33208c714cdf3e64cd8cf913de42b20ce82da6c04a7da94679b,splits/inner/ravdess/random/fold_000_seed_2.npz,22f3b1b95296636ef07d303bc33814b6764420e2a5fed7b5cc58e1c59ad8fe0c
12,ravdess__cnn__random__s2__f001,ravdess,cnn,random,2,1,5,864,288,288,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,721646e45962b82d513af0945226085470382d5ebce465a4e37dd528a8a4186d,splits/inner/ravdess/random/fold_001_seed_2.npz,feae93b78e938766a86d4d2fcea5e53e7a665b78277102000f4ea5c55e49d90b
13,ravdess__cnn__random__s2__f002,ravdess,cnn,random,2,2,5,864,288,288,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,f2b0e745909473d521b9ffa5904737eccd687ca2f04e4eb6cdd31eafb5392d82,splits/inner/ravdess/random/fold_002_seed_2.npz,4d57b5fe8c91af88c49d2ee794690c05122a7c1e0bc274ec1072e11cf2dae778
14,ravdess__cnn__random__s2__f003,ravdess,cnn,random,2,3,5,864,288,288,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,a21d86511457f6f0fb888ed1da0b5088cfc19728c305137ae0e2201e96fa72ec,splits/inner/ravdess/random/fold_003_seed_2.npz,f0edaa45460a7761a008ffdd8cd6db02b9f0010f283214ab5217ddf83f463947
15,ravdess__cnn__random__s2__f004,ravdess,cnn,random,2,4,5,864,288,288,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,64ef1a03810db92c62d5d0c90223495aa0e7f04af99a8c138aa8d133119c7458,splits/inner/ravdess/random/fold_004_seed_2.npz,32642698e5ee2ecd282beb59219d2ad9878e210ce091a8b508a075b62a7597fb
16,ravdess__cnn__groupkfold__s0__f000,ravdess,cnn,groupkfold,0,0,5,840,300,300,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,c787582202f969ba2926cf3b5ec33bacecc0bc1eda8c808bd31727d76bdd49c3,splits/inner/ravdess/groupkfold/fold_000_seed_0.npz,ab4a7e4434b39bb945a5f74a9c708d0d86827bfb12c8a1275ecd67032ad3bf66
17,ravdess__cnn__groupkfold__s0__f001,ravdess,cnn,groupkfold,0,1,5,840,300,300,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,cd1759ee99e22af731b569e0442cd55fef49c319b155f6131d4d5af1cd9b893d,splits/inner/ravdess/groupkfold/fold_001_seed_0.npz,f09e6adb0b6502fb2b61f1f3b1e35e210aa4a6acc50110323c148b1896e97038
18,ravdess__cnn__groupkfold__s0__f002,ravdess,cnn,groupkfold,0,2,5,840,300,300,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,90efda5a6791056ae039bacde5635e72360209a146ea4b360acead9f2a8ea4b0,splits/inner/ravdess/groupkfold/fold_002_seed_0.npz,f1c433ee08435bb1b2ee06976cbd2ef4becc5ee2db435ff0b7df9963ee5ab4f1
19,ravdess__cnn__groupkfold__s0__f003,ravdess,cnn,groupkfold,0,3,5,840,300,300,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,a8af703994484a1df97a85337612dea687750e8b4c630dccf29a4df0850d62aa,splits/inner/ravdess/groupkfold/fold_003_seed_0.npz,d8dccb9f505e33acd8ca43e888a32d6139436c8d22570fce0a9f3696394f1bab
20,ravdess__cnn__groupkfold__s0__f004,ravdess,cnn,groupkfold,0,4,5,900,300,240,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,e4c00ec75a546bb4c5716293f826faa43aedca48c09196f26d7cbc9bf2144666,splits/inner/ravdess/groupkfold/fold_004_seed_0.npz,7a0c91fd2cae14bb6da1d1707b846e8420b22b75fa13d35b5b26d9767adf6f51
21,ravdess__cnn__groupkfold__s1__f000,ravdess,cnn,groupkfold,1,0,5,840,300,300,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,c787582202f969ba2926cf3b5ec33bacecc0bc1eda8c808bd31727d76bdd49c3,splits/inner/ravdess/groupkfold/fold_000_seed_1.npz,c6db6cd94fedab83e3b0fcee61bea72e20076252cd77c066d9fb73d2f7067c95
22,ravdess__cnn__groupkfold__s1__f001,ravdess,cnn,groupkfold,1,1,5,840,300,300,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,cd1759ee99e22af731b569e0442cd55fef49c319b155f6131d4d5af1cd9b893d,splits/inner/ravdess/groupkfold/fold_001_seed_1.npz,fb630b0c93889fa9a8a7420db3a075a647102def5cca6f90bf2e1bcea9304228
23,ravdess__cnn__groupkfold__s1__f002,ravdess,cnn,groupkfold,1,2,5,840,300,300,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,90efda5a6791056ae039bacde5635e72360209a146ea4b360acead9f2a8ea4b0,splits/inner/ravdess/groupkfold/fold_002_seed_1.npz,6ee2cc72c66ea5c50c011f9d9fccbe09c3ef355f34c0428db1a0fc405f3b5e48
24,ravdess__cnn__groupkfold__s1__f003,ravdess,cnn,groupkfold,1,3,5,840,300,300,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,a8af703994484a1df97a85337612dea687750e8b4c630dccf29a4df0850d62aa,splits/inner/ravdess/groupkfold/fold_003_seed_1.npz,13ff79a5686d630d927c10725d1caa88eedf71e0c78ab54e10990d76ed5dae45
25,ravdess__cnn__groupkfold__s1__f004,ravdess,cnn,groupkfold,1,4,5,900,300,240,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,e4c00ec75a546bb4c5716293f826faa43aedca48c09196f26d7cbc9bf2144666,splits/inner/ravdess/groupkfold/fold_004_seed_1.npz,1792c9edc951b82255d9cba88914335232129ea958c3c3f8c3c02a63a177dfa7
26,ravdess__cnn__groupkfold__s2__f000,ravdess,cnn,groupkfold,2,0,5,840,300,300,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,c787582202f969ba2926cf3b5ec33bacecc0bc1eda8c808bd31727d76bdd49c3,splits/inner/ravdess/groupkfold/fold_000_seed_2.npz,b8cebe035e88f755101439c2155f99380373d1569632c124b59672e90181aeca
27,ravdess__cnn__groupkfold__s2__f001,ravdess,cnn,groupkfold,2,1,5,840,300,300,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,cd1759ee99e22af731b569e0442cd55fef49c319b155f6131d4d5af1cd9b893d,splits/inner/ravdess/groupkfold/fold_001_seed_2.npz,fbfb09ed18baceca96e4e7d050507021b9a78697915265ee7682075ac1a11435
28,ravdess__cnn__groupkfold__s2__f002,ravdess,cnn,groupkfold,2,2,5,840,300,300,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,90efda5a6791056ae039bacde5635e72360209a146ea4b360acead9f2a8ea4b0,splits/inner/ravdess/groupkfold/fold_002_seed_2.npz,89c63486cce57ec5ef3057698daef5d4cb886bf2e1ce9073fd242ebb4bbb1a33
29,ravdess__cnn__groupkfold__s2__f003,ravdess,cnn,groupkfold,2,3,5,840,300,300,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,a8af703994484a1df97a85337612dea687750e8b4c630dccf29a4df0850d62aa,splits/inner/ravdess/groupkfold/fold_003_seed_2.npz,57fba5354d15ae76550468fc13508149e6b1842dc2e8a4240e48d9e2db7f0aee
30,ravdess__cnn__groupkfold__s2__f004,ravdess,cnn,groupkfold,2,4,5,900,300,240,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,e4c00ec75a546bb4c5716293f826faa43aedca48c09196f26d7cbc9bf2144666,splits/inner/ravdess/groupkfold/fold_004_seed_2.npz,05785eab97273b64d5c7be7b7acdb701d7cd7baf2492d50a220e6d5c9fdf98d6
31,ravdess__cnn__loso__s0__f000,ravdess,cnn,loso,0,0,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,5a09f235080c29c7c6d6d5958eb8fe974aa52f24eddb6926bb284a83a57c3a8b,splits/inner/ravdess/loso/fold_000_seed_0.npz,d401ef60c0fa22b10eaf34fe313dfd758fdd5e60b5b1c528d9ca889912daad39
32,ravdess__cnn__loso__s0__f001,ravdess,cnn,loso,0,1,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,3959b2fb1e1557319d6be85eadaeae4df0dcb312a6e4eb2c3a78fb6def05e89e,splits/inner/ravdess/loso/fold_001_seed_0.npz,083677a5255448b04388a6fa8f43938b8a7e9fad54df121c974bbb0b325aed30
33,ravdess__cnn__loso__s0__f002,ravdess,cnn,loso,0,2,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,d069952d9d708ac8f1932bfd01fd9075ac51f01ea6895f646ac9ac4c4692d5f1,splits/inner/ravdess/loso/fold_002_seed_0.npz,4e9c70cf5c3f7f7570d81d5cdaf0dbe924b70771dc1207a9b4921b3b2d64f0fe
34,ravdess__cnn__loso__s0__f003,ravdess,cnn,loso,0,3,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,37cc3f4ac3e62f303631cd6a7e77970549b7e3f467fc99cfcefe7ae405539620,splits/inner/ravdess/loso/fold_003_seed_0.npz,51f2e827177d76cb19f98137ab04d4cb1416f64e0d7f5a0751e12c461a8117cf
35,ravdess__cnn__loso__s0__f004,ravdess,cnn,loso,0,4,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,4e84719991dab5f53917df4b95fcdadf9501cbe0ebec0156e3857fe66c59dd70,splits/inner/ravdess/loso/fold_004_seed_0.npz,15db9a75906c3e66e1db015f96ebec6f8855f7f8723f82cd612cf5caf64a1baf
36,ravdess__cnn__loso__s0__f005,ravdess,cnn,loso,0,5,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,8757cf39c7abe874a18f0c7e9b9b0a13916bc0ca5bde28aa0f8cb24e0aa9d66e,splits/inner/ravdess/loso/fold_005_seed_0.npz,bf091ffa671860746667d011d264292e63ad8449089c1a2039c14c207a6e25a9
37,ravdess__cnn__loso__s0__f006,ravdess,cnn,loso,0,6,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,829c4018775b5a6385339d8a684609f502eb95d8eeb983f8e86f84b5615598ba,splits/inner/ravdess/loso/fold_006_seed_0.npz,671c1eb31fa414b3f5e9bc4a98193657f1fa5b52e6d589982799cb33363521b6
38,ravdess__cnn__loso__s0__f007,ravdess,cnn,loso,0,7,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,d2be5696ba60519af6d7a1892ffdfefee7be55c18a9998d55fad596993eda268,splits/inner/ravdess/loso/fold_007_seed_0.npz,82c3578c49f9259bf68e78e353ceb31e5685e59e6e68661e5fd12f83170d0a56
39,ravdess__cnn__loso__s0__f008,ravdess,cnn,loso,0,8,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,95e038f03adba75872f5b7bd8040d05cd0d327dc3ed1b43713a2abe279f589d4,splits/inner/ravdess/loso/fold_008_seed_0.npz,fcd2ff52e41a3463b1f2ce57b9e2322ecd2d8089f865f1eff6e3c7a5d16ba82f
40,ravdess__cnn__loso__s0__f009,ravdess,cnn,loso,0,9,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,1f7ce192a2e3071b2e4d94b0f357444d91acd37c0c50065b641639c22a2097be,splits/inner/ravdess/loso/fold_009_seed_0.npz,64f4752e3382bc4967e0a8d63153576f0a6ddaae7297cff9424fefdf277cfc0e
41,ravdess__cnn__loso__s0__f010,ravdess,cnn,loso,0,10,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,14a7d0dc44936361e5da0da0417e1d00761a6a816e7c3fecee6eebb4c89bbeb7,splits/inner/ravdess/loso/fold_010_seed_0.npz,41ab76e1221a140f1c42560600f220d5d018eeb844aff52b91ad417bd7354fe4
42,ravdess__cnn__loso__s0__f011,ravdess,cnn,loso,0,11,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,ccb418ed1135a23e87272951f773aafb95746859bf5d5eb9b7b4267e4a10b973,splits/inner/ravdess/loso/fold_011_seed_0.npz,ab4e4258bd2c1170779215e2b433916dea07c0e3ebab2365648fb37640f75938
43,ravdess__cnn__loso__s0__f012,ravdess,cnn,loso,0,12,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,c479603a57b80666bfecb631c72ae105f93504c1f8eb911e6168528b7470b1fd,splits/inner/ravdess/loso/fold_012_seed_0.npz,b74abe443136b35b254330f37bf3dbad6ec688901faa6f11eb40700348348532
44,ravdess__cnn__loso__s0__f013,ravdess,cnn,loso,0,13,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,06e6b3a03935724ea2a447c2f19c17f4a12acfbccc1789498578a5f0ab6d41ca,splits/inner/ravdess/loso/fold_013_seed_0.npz,11544ccb18866f605260bd999dfede7291d98700f8a15891fc4e7c8f9240124a
45,ravdess__cnn__loso__s0__f014,ravdess,cnn,loso,0,14,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,bf63ccef717ec890d0cea9cff5e17b4f97cd39e58da440a85c31a16b0d607bf1,splits/inner/ravdess/loso/fold_014_seed_0.npz,5683fd90da8898785c25635eb3085db51fdc851b19ef27adbc5256633ff9b42d
46,ravdess__cnn__loso__s0__f015,ravdess,cnn,loso,0,15,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,ca5ce9a0e7a540bb56c0fc8a7b440fbccec5043691dc59e21e44e6c6dac7b927,splits/inner/ravdess/loso/fold_015_seed_0.npz,964d206931b39230cfac611ab74e0fc49fbf17ceeb583bcba0469b354d45c37c
47,ravdess__cnn__loso__s0__f016,ravdess,cnn,loso,0,16,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,ab9d98f580f986db75465cfbe0b9adfa0b52beff1accac88f51397aff8c23bd9,splits/inner/ravdess/loso/fold_016_seed_0.npz,419ad2ac577fdec4514471e1d0a5e7cbb18438da02bf56a3add9d12fd6f88094
48,ravdess__cnn__loso__s0__f017,ravdess,cnn,loso,0,17,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,039b6c1230583a164ba25690d41326fe3b6c453e0d44d264e7abf5272f033088,splits/inner/ravdess/loso/fold_017_seed_0.npz,e6bfbe1f29be60cafd222bb690107b7484358e86448339cc44b49749cd6e6828
49,ravdess__cnn__loso__s0__f018,ravdess,cnn,loso,0,18,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,00e0518e9f471578d2b47409354235bc515aa75e58c62a6e634eda86e5acce01,splits/inner/ravdess/loso/fold_018_seed_0.npz,12ba999c491134d13561b3a613a9f2141eae1472bad6120d563caf5fab684e03
50,ravdess__cnn__loso__s0__f019,ravdess,cnn,loso,0,19,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,879dcb20cab0ea7567c970a32c1417cab348d005c8d71accd46d2fc498471419,splits/inner/ravdess/loso/fold_019_seed_0.npz,5fb185c975272676662822219cdf8b48eff755810334ce233bc4764392ec51f1
51,ravdess__cnn__loso__s0__f020,ravdess,cnn,loso,0,20,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,c266153b40f5a598b935c295c700beb8c871aaf1000a1a89c2acfeb25746221a,splits/inner/ravdess/loso/fold_020_seed_0.npz,05fbd90ad33efb057ef80e5d1ec56bbd7896688da5068974552c6ed77eafe625
52,ravdess__cnn__loso__s0__f021,ravdess,cnn,loso,0,21,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,89ca1ecc499c7cb0975ce6f8a8bfbf29503993809fba3e65a93998440fafd412,splits/inner/ravdess/loso/fold_021_seed_0.npz,05625c4a891c00e4281f1aad7761ddff2ea8a12393d3adedfda4cb54d45a9bc2
53,ravdess__cnn__loso__s0__f022,ravdess,cnn,loso,0,22,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,5c924a3d3cddfec85bca96e1b181499ccb45605ee9957d0c4e01a5a3f9d4fe67,splits/inner/ravdess/loso/fold_022_seed_0.npz,fcd5bbd19096f62120d66d16b685b06b07b16b5becef47cbb951460645343d88
54,ravdess__cnn__loso__s0__f023,ravdess,cnn,loso,0,23,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,fff917e7f9fe88dc51a7fa6e49bb74b8a16ffff571e9fecc31c9abf53c7675ca,splits/inner/ravdess/loso/fold_023_seed_0.npz,9bbcc75725ae04bbc5fc588089969a7bf0a26515d3da3dbb9d686d02547a9ff9
55,ravdess__cnn__loso__s1__f000,ravdess,cnn,loso,1,0,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,5a09f235080c29c7c6d6d5958eb8fe974aa52f24eddb6926bb284a83a57c3a8b,splits/inner/ravdess/loso/fold_000_seed_1.npz,918a59cfd753323aea6a59d812a3cc5b78c7581ec6dcb4641e999715d70ae112
56,ravdess__cnn__loso__s1__f001,ravdess,cnn,loso,1,1,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,3959b2fb1e1557319d6be85eadaeae4df0dcb312a6e4eb2c3a78fb6def05e89e,splits/inner/ravdess/loso/fold_001_seed_1.npz,601850f08b54b53054f7fe9ce4bc3d72091b9a808baa08810ee8e9594964075c
57,ravdess__cnn__loso__s1__f002,ravdess,cnn,loso,1,2,24,1020,360,60,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,d069952d9d708ac8f1932bfd01fd9075ac51f01ea6895f646ac9ac4c4692d5f1,splits/inner/ravdess/loso/fold_002_seed_1.npz,71eacbdcc0a11f232091cfb5546fe52599cb45bd0066ea4f2836a9fe0b497b92
